GOID	GO function	GO category
GO:0000079	regulation_of_cyclin-dependent_protein_serine/threonine_kinase_activity	biological_process
GO:0000080	mitotic_G1_phase	biological_process
GO:0000082	G1/S_transition_of_mitotic_cell_cycle	biological_process
GO:0000083	regulation_of_transcription_involved_in_G1/S_transition_of_mitotic_cell_cycle	biological_process
GO:0000084	mitotic_S_phase	biological_process
GO:0000085	mitotic_G2_phase	biological_process
GO:0000086	G2/M_transition_of_mitotic_cell_cycle	biological_process
GO:0000087	mitotic_M_phase	biological_process
GO:0000088	mitotic_prophase	biological_process
GO:0000089	mitotic_metaphase	biological_process
GO:0000090	mitotic_anaphase	biological_process
GO:0000091	mitotic_anaphase_A	biological_process
GO:0000092	mitotic_anaphase_B	biological_process
GO:0000093	mitotic_telophase	biological_process
GO:0000094	obsolete_septin_assembly_and_septum_formation	biological_process
GO:0000095	S-adenosyl-L-methionine_transmembrane_transporter_activity	molecular_function
GO:0000096	sulfur_amino_acid_metabolic_process	biological_process
GO:0000097	sulfur_amino_acid_biosynthetic_process	biological_process
GO:0000098	sulfur_amino_acid_catabolic_process	biological_process
GO:0000099	sulfur_amino_acid_transmembrane_transporter_activity	molecular_function
GO:0000100	S-methylmethionine_transmembrane_transporter_activity	molecular_function
GO:0000101	sulfur_amino_acid_transport	biological_process
GO:0000102	L-methionine_secondary_active_transmembrane_transporter_activity	molecular_function
GO:0000103	sulfate_assimilation	biological_process
GO:0000104	succinate_dehydrogenase_activity	molecular_function
GO:0000105	histidine_biosynthetic_process	biological_process
GO:0000107	imidazoleglycerol-phosphate_synthase_activity	molecular_function
GO:0000108	obsolete_repairosome	cellular_component
GO:0000109	nucleotide-excision_repair_complex	cellular_component
GO:0000110	nucleotide-excision_repair_factor_1_complex	cellular_component
GO:0000111	nucleotide-excision_repair_factor_2_complex	cellular_component
GO:0000112	nucleotide-excision_repair_factor_3_complex	cellular_component
GO:0000113	nucleotide-excision_repair_factor_4_complex	cellular_component
GO:0000114	obsolete_regulation_of_transcription_involved_in_G1_phase_of_mitotic_cell_cycle	biological_process
GO:0000115	obsolete_regulation_of_transcription_involved_in_S_phase_of_mitotic_cell_cycle	biological_process
GO:0000116	obsolete_regulation_of_transcription_involved_in_G2-phase_of_mitotic_cell_cycle	biological_process
GO:0000117	regulation_of_transcription_involved_in_G2/M_transition_of_mitotic_cell_cycle	biological_process
GO:0000118	histone_deacetylase_complex	cellular_component
GO:0000120	RNA_polymerase_I_transcription_regulator_complex	cellular_component
GO:0000121	glycerol-1-phosphatase_activity	molecular_function
GO:0000122	negative_regulation_of_transcription_by_RNA_polymerase_II	biological_process
GO:0000123	histone_acetyltransferase_complex	cellular_component
GO:0000124	SAGA_complex	cellular_component
GO:0000125	PCAF_complex	cellular_component
GO:0000126	transcription_factor_TFIIIB_complex	cellular_component
GO:0000127	transcription_factor_TFIIIC_complex	cellular_component
GO:0000128	flocculation	biological_process
GO:0000131	incipient_cellular_bud_site	cellular_component
GO:0000132	establishment_of_mitotic_spindle_orientation	biological_process
GO:0000133	polarisome	cellular_component
GO:0000136	mannan_polymerase_complex	cellular_component
GO:0000137	Golgi_cis_cisterna	cellular_component
GO:0000138	Golgi_trans_cisterna	cellular_component
GO:0000139	Golgi_membrane	cellular_component
GO:0000140	acylglycerone-phosphate_reductase_activity	molecular_function
GO:0000142	cellular_bud_neck_contractile_ring	cellular_component
GO:0000144	cellular_bud_neck_septin_ring	cellular_component
GO:0000145	exocyst	cellular_component
GO:0000146	microfilament_motor_activity	molecular_function
GO:0000147	actin_cortical_patch_assembly	biological_process
GO:0000148	1-3-beta-D-glucan_synthase_complex	cellular_component
GO:0000149	SNARE_binding	molecular_function
GO:0000150	recombinase_activity	molecular_function
GO:0000151	ubiquitin_ligase_complex	cellular_component
GO:0000152	nuclear_ubiquitin_ligase_complex	cellular_component
GO:0000153	cytoplasmic_ubiquitin_ligase_complex	cellular_component
GO:0000154	rRNA_modification	biological_process
GO:0000155	phosphorelay_sensor_kinase_activity	molecular_function
GO:0000156	phosphorelay_response_regulator_activity	molecular_function
GO:0000159	protein_phosphatase_type_2A_complex	cellular_component
GO:0000160	phosphorelay_signal_transduction_system	biological_process
GO:0000161	osmosensory_signaling_MAPK_cascade	biological_process
GO:0000162	tryptophan_biosynthetic_process	biological_process
GO:0000164	protein_phosphatase_type_1_complex	cellular_component
GO:0000165	MAPK_cascade	biological_process
GO:0000166	nucleotide_binding	molecular_function
GO:0000167	activation_of_MAPKKK_activity_involved_in_osmosensory_signaling_pathway	biological_process
GO:0000168	activation_of_MAPKK_activity_involved_in_osmosensory_signaling_pathway	biological_process
GO:0000169	activation_of_MAPK_activity_involved_in_osmosensory_signaling_pathway	biological_process
GO:0000170	sphingosine_hydroxylase_activity	molecular_function
GO:0000171	ribonuclease_MRP_activity	molecular_function
GO:0000172	ribonuclease_MRP_complex	cellular_component
GO:0000173	inactivation_of_MAPK_activity_involved_in_osmosensory_signaling_pathway	biological_process
GO:0000174	obsolete_inactivation_of_MAPK_(mating_sensu_Saccharomyces)	biological_process
GO:0000175	3-5-exoribonuclease_activity	molecular_function
GO:0000176	nuclear_exosome_(RNase_complex)	cellular_component
GO:0000177	cytoplasmic_exosome_(RNase_complex)	cellular_component
GO:0000178	exosome_(RNase_complex)	cellular_component
GO:0000179	rRNA_(adenine-N6-N6-)-dimethyltransferase_activity	molecular_function
GO:0000180	obsolete_cytosolic_large_ribosomal_subunit	cellular_component
GO:0000181	obsolete_cytosolic_small_ribosomal_subunit	cellular_component
GO:0000182	rDNA_binding	molecular_function
GO:0000183	rDNA_heterochromatin_assembly	biological_process
GO:0000184	nuclear-transcribed_mRNA_catabolic_process-_nonsense-mediated_decay	biological_process
GO:0000185	activation_of_MAPKKK_activity	biological_process
GO:0000186	activation_of_MAPKK_activity	biological_process
GO:0000187	activation_of_MAPK_activity	biological_process
GO:0000188	inactivation_of_MAPK_activity	biological_process
GO:0000189	obsolete_MAPK_import_into_nucleus	biological_process
GO:0000190	obsolete_MAPKKK_cascade_(pseudohyphal_growth)	biological_process
GO:0000191	obsolete_activation_of_MAPKKK_(pseudohyphal_growth)	biological_process
GO:0000192	obsolete_activation_of_MAPKK_(pseudohyphal_growth)	biological_process
GO:0000193	obsolete_activation_of_MAPK_(pseudohyphal_growth)	biological_process
GO:0000194	obsolete_inactivation_of_MAPK_(pseudohyphal_growth)	biological_process
GO:0000195	obsolete_nuclear_translocation_of_MAPK_(pseudohyphal_growth)	biological_process
GO:0000196	cell_wall_integrity_MAPK_cascade	biological_process
GO:0000197	activation_of_MAPKKK_activity_involved_in_cell_wall_organization_or_biogenesis	biological_process
GO:0000198	activation_of_MAPKK_activity_involved_in_cell_wall_organization_or_biogenesis	biological_process
GO:0000199	activation_of_MAPK_activity_involved_in_cell_wall_organization_or_biogenesis	biological_process
GO:0000200	inactivation_of_MAPK_activity_involved_in_cell_wall_organization_or_biogenesis	biological_process
GO:0000201	obsolete_MAPK_import_into_nucleus_involved_in_cell_wall_organization_or_biogenesis	biological_process
GO:0000202	obsolete_MAPKKK_cascade_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000203	obsolete_activation_of_MAPKKK_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000204	obsolete_activation_of_MAPKK_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000205	obsolete_activation_of_MAPK_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000206	obsolete_inactivation_of_MAPK_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000207	obsolete_nuclear_translocation_of_MAPK_during_sporulation_(sensu_Saccharomyces)	biological_process
GO:0000208	obsolete_MAPK_import_into_nucleus_involved_in_osmosensory_signaling_pathway	biological_process
GO:0000209	protein_polyubiquitination	biological_process
GO:0000210	NAD+_diphosphatase_activity	molecular_function
GO:0000211	obsolete_protein_degradation_tagging_activity	molecular_function
GO:0000212	meiotic_spindle_organization	biological_process
GO:0000213	tRNA-intron_endonuclease_activity	molecular_function
GO:0000214	tRNA-intron_endonuclease_complex	cellular_component
GO:0000215	tRNA_2-phosphotransferase_activity	molecular_function
GO:0000216	obsolete_M/G1_transition_of_mitotic_cell_cycle	biological_process
GO:0000217	DNA_secondary_structure_binding	molecular_function
GO:0000219	obsolete_vacuolar_hydrogen-transporting_ATPase	cellular_component
GO:0000220	vacuolar_proton-transporting_V-type_ATPase-_V0_domain	cellular_component
GO:0000221	vacuolar_proton-transporting_V-type_ATPase-_V1_domain	cellular_component
GO:0000222	plasma_membrane_proton-transporting_V-type_ATPase-_V0_domain	cellular_component
GO:0000223	plasma_membrane_proton-transporting_V-type_ATPase-_V1_domain	cellular_component
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine_amidase_activity	molecular_function
GO:0000225	N-acetylglucosaminylphosphatidylinositol_deacetylase_activity	molecular_function
GO:0000226	microtubule_cytoskeleton_organization	biological_process
GO:0000227	oxaloacetate_secondary_active_transmembrane_transporter_activity	molecular_function
GO:0000228	nuclear_chromosome	cellular_component
GO:0000229	cytoplasmic_chromosome	cellular_component
GO:0000230	obsolete_nuclear_mitotic_chromosome	cellular_component
GO:0000231	obsolete_cytoplasmic_mitotic_chromosome	cellular_component
GO:0000232	obsolete_nuclear_interphase_chromosome	cellular_component
GO:0000233	obsolete_cytoplasmic_interphase_chromosome	cellular_component
GO:0000234	phosphoethanolamine_N-methyltransferase_activity	molecular_function
GO:0000235	astral_microtubule	cellular_component
GO:0000236	mitotic_prometaphase	biological_process
GO:0000237	leptotene	biological_process
GO:0000238	zygotene	biological_process
GO:0000239	pachytene	biological_process
GO:0000240	diplotene	biological_process
GO:0000241	diakinesis	biological_process
GO:0000242	pericentriolar_material	cellular_component
GO:0000243	commitment_complex	cellular_component
GO:0000244	spliceosomal_tri-snRNP_complex_assembly	biological_process
GO:0000245	spliceosomal_complex_assembly	biological_process
GO:0000246	delta24(24-1)_sterol_reductase_activity	molecular_function
GO:0000247	C-8_sterol_isomerase_activity	molecular_function
GO:0000248	C-5_sterol_desaturase_activity	molecular_function
GO:0000249	C-22_sterol_desaturase_activity	molecular_function
GO:0000250	lanosterol_synthase_activity	molecular_function
GO:0000252	C-3_sterol_dehydrogenase_(C-4_sterol_decarboxylase)_activity	molecular_function
GO:0000253	3-keto_sterol_reductase_activity	molecular_function
GO:0000254	C-4_methylsterol_oxidase_activity	molecular_function
GO:0000255	allantoin_metabolic_process	biological_process
GO:0000256	allantoin_catabolic_process	biological_process
GO:0000257	nitrilase_activity	molecular_function
GO:0000258	obsolete_isoleucine/valine:sodium_symporter_activity	molecular_function
GO:0000259	obsolete_intracellular_nucleoside_transmembrane_transporter_activity	molecular_function
GO:0000260	obsolete_hydrogen-translocating_V-type_ATPase_activity	molecular_function
GO:0000261	obsolete_sodium-translocating_V-type_ATPase_activity	molecular_function
GO:0000262	mitochondrial_chromosome	cellular_component
GO:0000263	obsolete_heterotrimeric_G-protein_GTPase-_alpha-subunit	molecular_function
GO:0000264	obsolete_heterotrimeric_G-protein_GTPase-_beta-subunit	molecular_function
GO:0000265	obsolete_heterotrimeric_G-protein_GTPase-_gamma-subunit	molecular_function
GO:0000266	mitochondrial_fission	biological_process
GO:0000267	obsolete_cell_fraction	cellular_component
GO:0000268	peroxisome_targeting_sequence_binding	molecular_function
GO:0000269	toxin_export_channel_activity	molecular_function
GO:0000270	peptidoglycan_metabolic_process	biological_process
GO:0000271	polysaccharide_biosynthetic_process	biological_process
GO:0000272	polysaccharide_catabolic_process	biological_process
GO:0000274	mitochondrial_proton-transporting_ATP_synthase-_stator_stalk	cellular_component
GO:0000275	mitochondrial_proton-transporting_ATP_synthase_complex-_catalytic_sector_F(1)	cellular_component
GO:0000276	mitochondrial_proton-transporting_ATP_synthase_complex-_coupling_factor_F(o)	cellular_component
GO:0000277	[cytochrome_c]-lysine_N-methyltransferase_activity	molecular_function
GO:0000278	mitotic_cell_cycle	biological_process
GO:0000279	M_phase	biological_process
GO:0000280	nuclear_division	biological_process
GO:0000281	mitotic_cytokinesis	biological_process
GO:0000282	cellular_bud_site_selection	biological_process
GO:0000284	obsolete_shmoo_orientation	biological_process
GO:0000285	1-phosphatidylinositol-3-phosphate_5-kinase_activity	molecular_function
GO:0000286	alanine_dehydrogenase_activity	molecular_function
GO:0000287	magnesium_ion_binding	molecular_function
GO:0000288	nuclear-transcribed_mRNA_catabolic_process-_deadenylation-dependent_decay	biological_process
GO:0000289	nuclear-transcribed_mRNA_poly(A)_tail_shortening	biological_process
GO:0000290	deadenylation-dependent_decapping_of_nuclear-transcribed_mRNA	biological_process
GO:0000291	nuclear-transcribed_mRNA_catabolic_process-_exonucleolytic	biological_process
GO:0000292	RNA_fragment_catabolic_process	biological_process
GO:0000293	ferric-chelate_reductase_activity	molecular_function
GO:0000294	nuclear-transcribed_mRNA_catabolic_process-_endonucleolytic_cleavage-dependent_decay	biological_process
GO:0000295	adenine_nucleotide_transmembrane_transporter_activity	molecular_function
GO:0000296	spermine_transport	biological_process
GO:0000297	spermine_transmembrane_transporter_activity	molecular_function
GO:0000298	endopolyphosphatase_activity	molecular_function
GO:0000299	obsolete_integral_to_membrane_of_membrane_fraction	cellular_component
GO:0000300	obsolete_peripheral_to_membrane_of_membrane_fraction	cellular_component
GO:0000301	retrograde_transport-_vesicle_recycling_within_Golgi	biological_process
GO:0000302	response_to_reactive_oxygen_species	biological_process
GO:0000303	response_to_superoxide	biological_process
GO:0000304	response_to_singlet_oxygen	biological_process
GO:0000305	response_to_oxygen_radical	biological_process
GO:0000306	extrinsic_component_of_vacuolar_membrane	cellular_component
GO:0000307	cyclin-dependent_protein_kinase_holoenzyme_complex	cellular_component
GO:0000308	cytoplasmic_cyclin-dependent_protein_kinase_holoenzyme_complex	cellular_component
GO:0000309	nicotinamide-nucleotide_adenylyltransferase_activity	molecular_function
GO:0000310	xanthine_phosphoribosyltransferase_activity	molecular_function
GO:0000311	plastid_large_ribosomal_subunit	cellular_component
GO:0000312	plastid_small_ribosomal_subunit	cellular_component
GO:0000313	organellar_ribosome	cellular_component
GO:0000314	organellar_small_ribosomal_subunit	cellular_component
GO:0000315	organellar_large_ribosomal_subunit	cellular_component
GO:0000316	sulfite_transport	biological_process
GO:0000319	sulfite_transmembrane_transporter_activity	molecular_function
GO:0000320	re-entry_into_mitotic_cell_cycle	biological_process
GO:0000321	re-entry_into_mitotic_cell_cycle_after_pheromone_arrest	biological_process
GO:0000322	storage_vacuole	cellular_component
GO:0000323	lytic_vacuole	cellular_component
GO:0000324	fungal-type_vacuole	cellular_component
GO:0000325	plant-type_vacuole	cellular_component
GO:0000326	protein_storage_vacuole	cellular_component
GO:0000327	lytic_vacuole_within_protein_storage_vacuole	cellular_component
GO:0000328	fungal-type_vacuole_lumen	cellular_component
GO:0000329	fungal-type_vacuole_membrane	cellular_component
GO:0000330	plant-type_vacuole_lumen	cellular_component
GO:0000331	contractile_vacuole	cellular_component
GO:0000332	template_for_synthesis_of_G-rich_strand_of_telomere_DNA_activity	molecular_function
GO:0000333	telomerase_catalytic_core_complex	cellular_component
GO:0000334	3-hydroxyanthranilate_3-4-dioxygenase_activity	molecular_function
GO:0000335	negative_regulation_of_transposition-_DNA-mediated	biological_process
GO:0000336	positive_regulation_of_transposition-_DNA-mediated	biological_process
GO:0000337	regulation_of_transposition-_DNA-mediated	biological_process
GO:0000338	protein_deneddylation	biological_process
GO:0000339	RNA_cap_binding	molecular_function
GO:0000340	RNA_7-methylguanosine_cap_binding	molecular_function
GO:0000341	RNA_trimethylguanosine_cap_binding	molecular_function
GO:0000342	RNA_cap_4_binding	molecular_function
GO:0000343	plastid-encoded_plastid_RNA_polymerase_complex_A	cellular_component
GO:0000344	plastid-encoded_plastid_RNA_polymerase_complex_B	cellular_component
GO:0000345	cytosolic_DNA-directed_RNA_polymerase_complex	cellular_component
GO:0000346	transcription_export_complex	cellular_component
GO:0000347	THO_complex	cellular_component
GO:0000348	mRNA_branch_site_recognition	biological_process
GO:0000349	generation_of_catalytic_spliceosome_for_first_transesterification_step	biological_process
GO:0000350	generation_of_catalytic_spliceosome_for_second_transesterification_step	biological_process
GO:0000352	trans_assembly_of_SL-containing_precatalytic_spliceosome	biological_process
GO:0000353	formation_of_quadruple_SL/U4/U5/U6_snRNP	biological_process
GO:0000354	cis_assembly_of_pre-catalytic_spliceosome	biological_process
GO:0000362	obsolete_first_U2-type_spliceosomal_transesterification_activity	molecular_function
GO:0000363	obsolete_first_U12-type_spliceosomal_transesterification_activity	molecular_function
GO:0000364	obsolete_second_U2-type_spliceosomal_transesterification_activity	molecular_function
GO:0000365	mRNA_trans_splicing-_via_spliceosome	biological_process
GO:0000366	intergenic_mRNA_trans_splicing	biological_process
GO:0000367	obsolete_second_U12-type_spliceosomal_transesterification_activity	molecular_function
GO:0000372	Group_I_intron_splicing	biological_process
GO:0000373	Group_II_intron_splicing	biological_process
GO:0000374	Group_III_intron_splicing	biological_process
GO:0000375	RNA_splicing-_via_transesterification_reactions	biological_process
GO:0000376	RNA_splicing-_via_transesterification_reactions_with_guanosine_as_nucleophile	biological_process
GO:0000377	RNA_splicing-_via_transesterification_reactions_with_bulged_adenosine_as_nucleophile	biological_process
GO:0000378	RNA_exon_ligation	biological_process
GO:0000379	tRNA-type_intron_splice_site_recognition_and_cleavage	biological_process
GO:0000380	alternative_mRNA_splicing-_via_spliceosome	biological_process
GO:0000381	regulation_of_alternative_mRNA_splicing-_via_spliceosome	biological_process
GO:0000384	first_spliceosomal_transesterification_activity	molecular_function
GO:0000386	second_spliceosomal_transesterification_activity	molecular_function
GO:0000387	spliceosomal_snRNP_assembly	biological_process
GO:0000388	spliceosome_conformational_change_to_release_U4_(or_U4atac)_and_U1_(or_U11)	biological_process
GO:0000389	mRNA_3-splice_site_recognition	biological_process
GO:0000390	spliceosomal_complex_disassembly	biological_process
GO:0000393	spliceosomal_conformational_changes_to_generate_catalytic_conformation	biological_process
GO:0000394	RNA_splicing-_via_endonucleolytic_cleavage_and_ligation	biological_process
GO:0000395	mRNA_5-splice_site_recognition	biological_process
GO:0000398	mRNA_splicing-_via_spliceosome	biological_process
GO:0000399	cellular_bud_neck_septin_structure	cellular_component
GO:0000400	four-way_junction_DNA_binding	molecular_function
GO:0000401	open_form_four-way_junction_DNA_binding	molecular_function
GO:0000402	crossed_form_four-way_junction_DNA_binding	molecular_function
GO:0000403	Y-form_DNA_binding	molecular_function
GO:0000404	heteroduplex_DNA_loop_binding	molecular_function
GO:0000405	bubble_DNA_binding	molecular_function
GO:0000406	double-strand/single-strand_DNA_junction_binding	molecular_function
GO:0000407	phagophore_assembly_site	cellular_component
GO:0000408	EKC/KEOPS_complex	cellular_component
GO:0000409	regulation_of_transcription_by_galactose	biological_process
GO:0000410	carbon_catabolite_repression_of_transcription_by_galactose	biological_process
GO:0000411	positive_regulation_of_transcription_by_galactose	biological_process
GO:0000412	histone_peptidyl-prolyl_isomerization	biological_process
GO:0000413	protein_peptidyl-prolyl_isomerization	biological_process
GO:0000414	regulation_of_histone_H3-K36_methylation	biological_process
GO:0000415	negative_regulation_of_histone_H3-K36_methylation	biological_process
GO:0000416	positive_regulation_of_histone_H3-K36_methylation	biological_process
GO:0000417	HIR_complex	cellular_component
GO:0000418	RNA_polymerase_IV_complex	cellular_component
GO:0000419	RNA_polymerase_V_complex	cellular_component
GO:0000421	autophagosome_membrane	cellular_component
GO:0000422	autophagy_of_mitochondrion	biological_process
GO:0000423	mitophagy	biological_process
GO:0000424	micromitophagy	biological_process
GO:0000425	pexophagy	biological_process
GO:0000426	micropexophagy	biological_process
GO:0000427	plastid-encoded_plastid_RNA_polymerase_complex	cellular_component
GO:0000428	DNA-directed_RNA_polymerase_complex	cellular_component
GO:0000429	carbon_catabolite_regulation_of_transcription_from_RNA_polymerase_II_promoter	biological_process
GO:0000430	regulation_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	biological_process
GO:0000431	regulation_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	biological_process
GO:0000432	positive_regulation_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	biological_process
GO:0000433	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	biological_process
GO:0000434	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	biological_process
GO:0000435	positive_regulation_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	biological_process
GO:0000436	carbon_catabolite_activation_of_transcription_from_RNA_polymerase_II_promoter	biological_process
GO:0000437	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter	biological_process
GO:0000438	core_TFIIH_complex_portion_of_holo_TFIIH_complex	cellular_component
GO:0000439	transcription_factor_TFIIH_core_complex	cellular_component
GO:0000440	core_TFIIH_complex_portion_of_NEF3_complex	cellular_component
GO:0000444	MIS12/MIND_type_complex	cellular_component
GO:0000445	THO_complex_part_of_transcription_export_complex	cellular_component
GO:0000446	nucleoplasmic_THO_complex	cellular_component
GO:0000447	endonucleolytic_cleavage_in_ITS1_to_separate_SSU-rRNA_from_5.8S_rRNA_and_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000448	cleavage_in_ITS2_between_5.8S_rRNA_and_LSU-rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000449	endonucleolytic_cleavage_of_tricistronic_rRNA_transcript_(SSU-rRNA-_LSU-rRNA-_5S)	biological_process
GO:0000450	cleavage_of_bicistronic_rRNA_transcript_(SSU-rRNA-_LSU-rRNA)	biological_process
GO:0000451	rRNA_2-O-methylation	biological_process
GO:0000452	snoRNA_guided_rRNA_2-O-methylation	biological_process
GO:0000453	enzyme-directed_rRNA_2-O-methylation	biological_process
GO:0000454	snoRNA_guided_rRNA_pseudouridine_synthesis	biological_process
GO:0000455	enzyme-directed_rRNA_pseudouridine_synthesis	biological_process
GO:0000456	obsolete_dimethylation_involved_in_SSU-rRNA_maturation	biological_process
GO:0000457	endonucleolytic_cleavage_between_SSU-rRNA_and_LSU-rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA-_LSU-rRNA-_5S)	biological_process
GO:0000458	endonucleolytic_cleavage_between_LSU-rRNA_and_5S_rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA-_LSU-rRNA-_5S)	biological_process
GO:0000459	exonucleolytic_trimming_involved_in_rRNA_processing	biological_process
GO:0000460	maturation_of_5.8S_rRNA	biological_process
GO:0000461	endonucleolytic_cleavage_to_generate_mature_3-end_of_SSU-rRNA_from_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000462	maturation_of_SSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000463	maturation_of_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000464	endonucleolytic_cleavage_in_ITS1_upstream_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000465	exonucleolytic_trimming_to_generate_mature_5-end_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000466	maturation_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000467	exonucleolytic_trimming_to_generate_mature_3-end_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000468	generation_of_mature_3-end_of_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
GO:0000469	cleavage_involved_in_rRNA_processing	biological_process
GO:0000470	maturation_of_LSU-rRNA	biological_process
GO:0000471	endonucleolytic_cleavage_in_3-ETS_of_tricistronic_rRNA_transcript_(SSU-rRNA-_5.8S_rRNA-_LSU-rRNA)	biological_process
